gpu_type,local_bsz,placement,step_time,sync_time
dgx,32,1,0.035044655203819275,0.0007174400016665458
dgx,45,1,0.03487640619277954,0.0005572479888796806
dgx,64,1,0.03505198657512665,0.0003242240026593208
dgx,91,1,0.036917924880981445,0.0003083520028740168
dgx,129,1,0.03871326148509979,0.0002791679985821247
dgx,182,1,0.04105563461780548,0.00027763200178742415
dgx,257,1,0.04932904243469238,0.00027680000290274625
dgx,363,1,0.058824703097343445,0.00027724799886345863
dgx,513,1,0.0718507319688797,0.00027808000147342684
dgx,725,1,0.09264443814754486,0.00027769600041210657
dgx,1025,1,0.11900351941585541,0.00027808000147342684
dgx,1450,1,0.1603420525789261,0.0002768640033900738
dgx,2051,1,0.21710026264190674,0.00027782400138676167
dgx,2901,1,0.2947620749473572,0.0002766506671905518
dgx,4096,1,0.4070537771497454,0.0002993005684443882
rtx,32,1,0.043465644121170044,0.00038437600061297416
rtx,45,1,0.057381659746170044,0.0008549020029604436
rtx,64,1,0.0595131516456604,0.00028588000126183034
rtx,91,1,0.06622949242591858,0.00028583800047636033
rtx,129,1,0.07452183961868286,0.00028888199664652345
rtx,182,1,0.0847516655921936,0.0002901600040495396
rtx,257,1,0.10599736869335175,0.0002920199986547232
rtx,363,1,0.13406790792942047,0.0002915259990841151
rtx,513,1,0.16919450461864471,0.00028929799981415274
rtx,725,1,0.22750617563724518,0.00028856599889695643
rtx,1024,1,0.3097095489501953,0.0002873400039970875
v100,32,1,0.09273827075958252,0.0005464320033788681
v100,45,1,0.09714066982269287,0.0002714880015701056
v100,64,1,0.10104160010814667,0.00027136000059545045
v100,91,1,0.10644906759262085,0.0002711040005087853
v100,129,1,0.10988125205039978,0.0002712319977581501
v100,182,1,0.11359182000160217,0.0002707839980721474
v100,257,1,0.1170802116394043,0.00027155199646949777
v100,363,1,0.11844147741794586,0.000271103996783495
v100,513,1,0.12750403583049774,0.000271231995895505
v100,725,1,0.1698475033044815,0.0002698879987001419
v100,1025,1,0.23204296827316284,0.00027116799727082256
v100,1450,1,0.3161057382822037,0.00027084800042212015
v100,2051,1,0.43998004496097565,0.0002716159950941802
v100,2901,1,0.6122604409853617,0.0002734079957008362
v100,3072,1,0.6515738747336648,0.0002729425484483893
quad,32,1,0.04108920693397522,0.00038000199757516384
quad,45,1,0.03845062851905823,0.0002694960031658411
quad,64,1,0.04358676075935364,0.00033447199873626234
quad,91,1,0.04962046444416046,0.0002685480006039143
quad,129,1,0.061116307973861694,0.00027033199928700927
quad,182,1,0.06814458966255188,0.0002723979987204075
quad,257,1,0.09019728004932404,0.0002745719999074936
quad,363,1,0.11601150035858154,0.0002752179987728596
quad,513,1,0.15584564208984375,0.00027417999878525735
quad,725,1,0.20798593759536743,0.00027361799590289594
quad,1025,1,0.28371143341064453,0.00027217599935829646
quad,1450,1,0.3960244208574295,0.0002743180003017187
quad,2048,1,0.5475723445415497,0.00027575000002980234
t4,32,1,0.0427886962890625,0.0004995360016822816
t4,45,1,0.05048525333404541,0.000504022404551506
t4,64,1,0.05983335971832275,0.0005080448031425476
t4,91,1,0.07591350078582763,0.0005244320034980774
t4,129,1,0.10385050773620605,0.0005253599941730499
t4,182,1,0.13722496032714843,0.0005333151996135711
t4,257,1,0.18708271980285646,0.0005324799835681917
t4,363,1,0.2595393657684326,0.0005360671997070313
t4,513,1,0.3553631782531738,0.0005348415970802307
t4,725,1,0.4961158037185669,0.0005435007929801941
t4,1024,1,0.7020925283432007,0.0005468864023685456
