gpu_type,local_bsz,placement,step_time,sync_time
dgx,10,1,0.4238388389348984,0.00048134400136768817
dgx,14,1,0.4913836121559143,0.00047744000144302835
dgx,20,1,0.5713477432727814,0.00047667199932038785
dgx,28,1,0.6225377321243286,0.00047846400178968906
dgx,40,1,0.8595356047153473,0.00046572799794375897
dgx,57,1,1.1196432560682297,0.00046617599576711654
dgx,81,1,1.5202616155147552,0.0004660479985177517
dgx,115,1,2.0887885242700577,0.0004675199966877699
dgx,163,1,2.5665640383958817,0.0004662400018423796
dgx,231,1,3.237549662590027,0.00046549332886934277
dgx,320,1,4.128786836351667,0.00046577371018273483
rtx,10,1,0.29913394153118134,0.0007401479929685592
rtx,14,1,0.34553565084934235,0.0007406460009515286
rtx,20,1,0.3939492553472519,0.0007418560013175011
rtx,28,1,0.5296237468719482,0.0007435420043766499
rtx,40,1,0.6618216931819916,0.0007430320009589196
rtx,57,1,1.0754915475845337,0.0007463860064744949
v100,10,1,0.2707400321960449,0.0006002559997141361
v100,14,1,0.2901240289211273,0.0005986559949815273
v100,20,1,0.35111601650714874,0.0005985279977321625
v100,28,1,0.41486799716949463,0.0005981440097093582
v100,40,1,0.5415588915348053,0.0005993600003421307
v100,57,1,0.719040185213089,0.0006022399999201296
v100,81,1,1.0034739077091217,0.0006046720072627067
v100,115,1,1.460685059428215,0.0006065920032560825
v100,163,1,2.1221215426921844,0.0006066559888422491
v100,231,1,3.130993107954661,0.0006062933305899301
v100,240,1,3.341525207866322,0.0006063010909340599
quad,10,1,0.3922385722398758,0.0007127119973301888
quad,14,1,0.42190493643283844,0.0007211519926786424
quad,20,1,0.4906722605228424,0.000715048000216484
quad,28,1,0.5615701228380203,0.0007174580059945583
quad,40,1,0.7027018815279007,0.0007181040085852145
quad,57,1,0.9743719547986984,0.0007197120003402232
quad,81,1,1.501002937555313,0.0007207040004432203
quad,115,1,2.3133028000593185,0.0007193039990961551
quad,160,1,3.288677379488945,0.0007177379988133907
t4,10,1,0.46644578874111176,0.001527486003935337
t4,14,1,0.5584957748651505,0.001528048001229763
t4,20,1,0.6812043339014053,0.0015308360010385512
t4,28,1,0.8508968204259872,0.0015318839922547338
t4,40,1,1.121678352355957,0.0015275619998574256
t4,57,1,1.6641943603754044,0.0015316479951143264
t4,80,1,2.5406229346990585,0.001536966010928154
