gpu_type,local_bsz,placement,step_time,sync_time
dgx,20,1,0.15168879926204681,0.0007743360064923763
dgx,28,1,0.15093441307544708,0.0008372480012476445
dgx,40,1,0.15661810338497162,0.0006851199865341187
dgx,57,1,0.16647665202617645,0.0006858239993453026
dgx,81,1,0.17979022860527039,0.0006853760033845902
dgx,115,1,0.20118600130081177,0.0006858239956200122
dgx,163,1,0.2437627762556076,0.0006860799901187419
dgx,231,1,0.29848989844322205,0.0006851199902594087
dgx,327,1,0.36869803071022034,0.0006886399947106837
dgx,462,1,0.4897648096084595,0.0006860799938440322
dgx,653,1,0.642295628786087,0.0006787840016186237
dgx,800,1,0.7736862450838089,0.0006746880002319813
rtx,20,1,0.2141590267419815,0.0006965060010552407
rtx,28,1,0.22524596750736237,0.0006979459971189499
rtx,40,1,0.22964812815189362,0.000659374002367258
rtx,57,1,0.2144503891468048,0.00066134799644351
rtx,81,1,0.32149533927440643,0.000661959994584322
rtx,115,1,0.3297785371541977,0.0006623959951102735
rtx,163,1,0.5060423463582993,0.0006661399975419045
rtx,200,1,0.463215172290802,0.000663863994181156
v100,20,1,0.15734225511550903,0.0008509440049529076
v100,28,1,0.15508674085140228,0.0006547840014100074
v100,40,1,0.17137683928012848,0.0006547840014100076
v100,57,1,0.18109339475631714,0.0006539520025253295
v100,81,1,0.21550695598125458,0.0006609919965267181
v100,115,1,0.2476273626089096,0.0006570240035653117
v100,163,1,0.31179581582546234,0.0006561280004680156
v100,231,1,0.4150732755661011,0.0006601599939167501
v100,327,1,0.5305320620536804,0.0006594560034573078
v100,462,1,0.71505007147789,0.0006600319929420947
v100,600,1,0.8912163078784943,0.0006590079925954342
quad,20,1,0.17369531095027924,0.0008139419890940188
quad,28,1,0.1739388406276703,0.0007653120085597037
quad,40,1,0.18619988858699799,0.0006344959996640682
quad,57,1,0.1997404247522354,0.0006387359984219075
quad,81,1,0.27514082193374634,0.0006392979919910432
quad,115,1,0.27898193895816803,0.0006391560062766076
quad,163,1,0.4476453959941864,0.000643887996673584
quad,231,1,0.6074568629264832,0.0006421299986541271
quad,327,1,0.596522867679596,0.000656191997230053
quad,400,1,0.9639934003353119,0.0006432400010526181
t4,20,1,0.14740917682647706,0.0012090879917144776
t4,28,1,0.20809321403503417,0.0012060832023620606
t4,40,1,0.2534669876098633,0.0012079136133193971
t4,57,1,0.32392780780792235,0.0012021311998367309
t4,81,1,0.42071189880371096,0.0011982880115509033
t4,115,1,0.5602007150650025,0.0012013024091720582
t4,163,1,0.7624222040176392,0.0012011392235755922
t4,200,1,0.923530888557434,0.0012039680004119874
