gpu_type,local_bsz,placement,step_time,sync_time
dgx,32,1,0.00924760103225708,0.00032486399821937077
dgx,45,1,0.009422510862350464,0.00032473600097000603
dgx,64,1,0.009094446897506714,0.00034291199781000617
dgx,91,1,0.009367913007736206,0.0003556480035185814
dgx,129,1,0.009346336126327515,0.0003383680023252964
dgx,182,1,0.009703367948532104,0.0003427840005606412
dgx,257,1,0.009905204176902771,0.0003422079980373383
dgx,363,1,0.009633496403694153,0.0003419519998133182
dgx,513,1,0.00945250689983368,0.00033657600171864036
dgx,725,1,0.00907224416732788,0.0003218560013920069
dgx,1025,1,0.009833663702011108,0.00034867200255393976
dgx,1450,1,0.009921908378601074,0.0003415039982646704
dgx,2051,1,0.010090693831443787,0.0003086079973727465
dgx,2901,1,0.009613096714019775,0.0002675199992954731
dgx,4103,1,0.012041077017784119,0.0004007680024951697
dgx,5803,1,0.010768428444862366,0.00034412800334393973
dgx,8207,1,0.010265201330184937,0.0003286400008946657
dgx,11606,1,0.010903865098953247,0.00033324800059199343
dgx,16413,1,0.011053487658500671,0.00035103999637067323
dgx,23211,1,0.011677011847496033,0.0003244160003960133
dgx,32768,1,0.010716557502746582,0.0003310719989240169
rtx,32,1,0.012287572026252747,0.000420255996286869
rtx,45,1,0.014623135328292847,0.0005262880008667707
rtx,64,1,0.017291903495788574,0.0004896759986877442
rtx,91,1,0.01965273916721344,0.0007248300053179264
rtx,129,1,0.015713393688201904,0.0006211640015244484
rtx,182,1,0.019036054611206055,0.0007237000055611134
rtx,257,1,0.01873655617237091,0.0006735699921846391
rtx,363,1,0.01711934804916382,0.0006160319969058035
rtx,513,1,0.015432044863700867,0.0005595399998128414
rtx,725,1,0.019860923290252686,0.0007281180024147035
rtx,1025,1,0.01451537013053894,0.000534911997616291
rtx,1450,1,0.01528981328010559,0.0006057760007679463
rtx,2051,1,0.015064850449562073,0.0005392040014266968
rtx,2901,1,0.01680074632167816,0.0006658720057457684
rtx,4103,1,0.018519625067710876,0.0006841760016977786
rtx,5803,1,0.020306989550590515,0.0006921699978411198
rtx,8207,1,0.01994633674621582,0.000699619997292757
rtx,11606,1,0.01937238872051239,0.0006949359960854054
rtx,16413,1,0.019350707530975342,0.0007056940011680125
rtx,23211,1,0.018176764249801636,0.000682533998042345
rtx,32768,1,0.02025991678237915,0.0007582259997725487
v100,32,1,0.09723344445228577,0.000361344000324607
v100,45,1,0.10211731493473053,0.00035615999810397625
v100,64,1,0.10881964862346649,0.0003894400000572204
v100,91,1,0.1142021119594574,0.0003616640046238899
v100,129,1,0.1216592788696289,0.0005496319960802793
v100,182,1,0.12435732781887054,0.0003752960003912449
v100,257,1,0.1296372264623642,0.0003682559989392758
v100,363,1,0.13472574949264526,0.000360384002327919
v100,513,1,0.13776735961437225,0.00036550399847328673
v100,725,1,0.15027198195457458,0.0003695360012352466
v100,1025,1,0.1496322900056839,0.00037292799912393094
v100,1450,1,0.15989157557487488,0.00037817600369453424
v100,2051,1,0.1564856320619583,0.0003728639986366033
v100,2901,1,0.16327746212482452,0.0003256959989666939
v100,4103,1,0.16378095746040344,0.0004073599986732006
v100,5803,1,0.1714991182088852,0.00039776000194251536
v100,8207,1,0.17420744895935059,0.00041356800124049193
v100,11606,1,0.17010796070098877,0.0004178559985011816
v100,16413,1,0.1823301762342453,0.00040659200027585036
v100,23211,1,0.18791349232196808,0.00039846400171518324
v100,32768,1,0.1919250637292862,0.00039916799776256085
quad,32,1,0.012984409928321838,0.00048278000392019754
quad,45,1,0.012909099459648132,0.0004934880062937736
quad,64,1,0.011941447854042053,0.0004621839988976717
quad,91,1,0.012039527297019958,0.00041453599929809566
quad,129,1,0.013047710061073303,0.00046850399486720576
quad,182,1,0.012078210711479187,0.00043026600033044824
quad,257,1,0.013438373804092407,0.0005072719994932414
quad,363,1,0.013496890664100647,0.0005030340049415827
quad,513,1,0.011409059166908264,0.0004086140021681786
quad,725,1,0.013300329446792603,0.0005188560001552104
quad,1025,1,0.0114012211561203,0.00039727400057017805
quad,1450,1,0.015068382024765015,0.0006024000067263841
quad,2051,1,0.013722926378250122,0.0004756759982556105
quad,2901,1,0.01582890748977661,0.0006479059997946023
quad,4103,1,0.012537747621536255,0.00038373599946498876
quad,5803,1,0.013445749878883362,0.00046617600321769716
quad,8207,1,0.017443612217903137,0.0006005200017243624
quad,11606,1,0.01551315188407898,0.0006211399957537651
quad,16413,1,0.015841513872146606,0.0006169540025293827
quad,23211,1,0.016105204820632935,0.0006084219925105572
quad,32768,1,0.01615998148918152,0.0005914880000054836
t4,32,1,0.007305891513824463,0.00029323743879795084
t4,45,1,0.0072613382339477535,0.00029115167886018743
t4,64,1,0.007257053852081299,0.00029450623959302905
t4,91,1,0.007588624954223633,0.0002945011201500893
t4,129,1,0.007328660488128662,0.0002943343991041183
t4,182,1,0.007377429008483887,0.0002975193595886231
t4,257,1,0.007437832355499267,0.0002992822390794753
t4,363,1,0.0075324630737304684,0.00029544928103685366
t4,513,1,0.007436022758483886,0.0002819328010082245
t4,725,1,0.007597434520721436,0.0002468732802569866
t4,1025,1,0.00865839958190918,0.00031203903794288653
t4,1450,1,0.008697671890258789,0.0003074848002195358
