gpu_type,local_bsz,placement,step_time,sync_time
dgx,4,1,0.24740348756313324,0.0012252800092101095
dgx,6,1,0.3366726189851761,0.0010762239769101143
dgx,8,1,0.30161936581134796,0.001229760006070137
dgx,11,1,0.3762487769126892,0.0010903679952025415
dgx,16,1,0.3395235687494278,0.001078911989927292
dgx,23,1,0.5643210709095001,0.0010892159789800645
dgx,32,1,0.3930736780166626,0.001081152006983757
rtx,4,1,0.4292915612459183,0.0018916519954800606
rtx,6,1,0.682349443435669,0.0013153800144791604
rtx,8,1,0.5907069444656372,0.0016126280054450035
v100,4,1,0.21921677887439728,0.0011656320095062254
v100,6,1,0.2905066907405853,0.001161216013133526
v100,8,1,0.2524658739566803,0.0011634560227394104
v100,11,1,0.3239079862833023,0.0011683199852705
v100,16,1,0.3260984718799591,0.0011646080166101455
v100,23,1,0.5647607892751694,0.0011755520105361937
v100,24,1,0.3353075236082077,0.0011665280014276503
quad,4,1,0.1865890473127365,0.0012578359916806219
quad,6,1,0.27864374220371246,0.0012618359997868536
quad,8,1,0.22894027829170227,0.001261197991669178
quad,11,1,0.3057585805654526,0.0012695339918136598
quad,16,1,0.31624719500541687,0.0012738640084862707
t4,4,1,0.26693882048130035,0.0024875399768352503
t4,6,1,0.45066384971141815,0.0025271740257740024
t4,8,1,0.3261484205722809,0.0024901360273361208
t4,11,1,0.5716767460107803,0.0025414180159568788
t4,16,1,0.5726079791784286,0.002545875996351243
