local_bsz,step_time,sync_time,num_nodes,num_replicas
32,0.12186558544635773,0.008232640147209168,4,4
45,0.12831468880176544,0.008177408039569855,4,4
64,0.13011081516742706,0.00838144001364708,4,4
91,0.13460774719715118,0.008507136046886443,4,4
129,0.14130373299121857,0.008839679837226867,4,4
182,0.14032353460788727,0.00802982398867607,4,4
257,0.14681871235370636,0.007549632042646409,4,4
363,0.14518463611602783,0.007600063979625702,4,4
513,0.1515461653470993,0.006260416030883788,4,4
725,0.17544245719909668,0.006046634634335836,4,4
1025,0.23726892471313477,0.00567647089276995,4,4
1450,0.3214043776194255,0.00468889586130778,4,4
2051,0.4489247798919678,0.0027596800327301025,4,4
32,0.09387809038162231,0.008920895993709564,5,6
45,0.09886792302131653,0.009468287944793704,5,6
64,0.10092650353908539,0.009902463972568512,5,6
91,0.10772790014743805,0.00967635202407837,5,6
129,0.11268030107021332,0.009587840020656586,5,6
182,0.11781613528728485,0.008775040030479431,5,6
257,0.12294319272041321,0.008751487970352172,5,6
363,0.12750288844108582,0.008614336073398591,5,6
513,0.13546843962235885,0.008195816820318048,5,6
725,0.17632063229878744,0.007360341310501099,5,6
1025,0.23768321673075357,0.007452671845753988,5,6
32,0.1265864074230194,0.018782848000526427,3,4
45,0.12826253473758698,0.017475072026252748,3,4
64,0.12879803776741028,0.01657593619823456,3,4
91,0.13644000887870789,0.014419904112815858,3,4
129,0.13561226427555084,0.013488383948802947,3,4
182,0.1440097838640213,0.011381695926189424,3,4
257,0.1368706226348877,0.010602047920227049,3,4
363,0.13999895751476288,0.013698432147502899,3,4
513,0.14112229645252228,0.01330163198709488,3,4
725,0.1814830501874288,0.012549802621205646,3,4
1025,0.2432870864868164,0.012177554403032576,3,4
1450,0.32863783836364746,0.010887850761413576,3,4
2051,0.4550812244415283,0.01022873592376709,3,4
32,0.12211932241916656,0.01965516817569733,4,6
45,0.12683618068695068,0.01722867202758789,4,6
64,0.1306672990322113,0.01576211190223694,4,6
91,0.1398472785949707,0.015854336082935336,4,6
129,0.1406880021095276,0.015536511957645415,4,6
182,0.14540010690689087,0.014231552064418793,4,6
257,0.1480637490749359,0.013674688041210172,4,6
363,0.1487034112215042,0.014379199981689454,4,6
513,0.15978748148137872,0.013812270511280407,4,6
725,0.1833792527516683,0.014159701347351075,4,6
1025,0.24576544761657715,0.012902400016784667,4,6
32,0.09516085684299469,0.019652671933174132,5,8
45,0.09776540100574493,0.01944972789287567,5,8
64,0.1012410819530487,0.018044352054595945,5,8
91,0.10629419982433319,0.017135295867919922,5,8
129,0.11235947906970978,0.01540614396333694,5,8
182,0.11303983628749847,0.0140002561211586,5,8
257,0.11665870249271393,0.01384998404979706,5,8
363,0.12014740705490112,0.014247936089833574,5,8
513,0.14179389817374094,0.015020032201494489,5,8
725,0.1825855573018392,0.013961898803710937,5,8
1025,0.24733328819274902,0.014636032104492188,5,8
32,0.09432129561901093,0.01637190395593643,3,6
45,0.10500533878803253,0.015694400012493136,3,6
64,0.10282130539417267,0.014369920015335083,3,6
91,0.11299823224544525,0.012816831827163698,3,6
129,0.11169929802417755,0.010665983974933626,3,6
182,0.1192307323217392,0.011958975970745085,3,6
257,0.11765967309474945,0.011999296128749849,3,6
363,0.11951565742492676,0.01223699200153351,3,6
513,0.14111538366837936,0.012156183329495517,3,6
725,0.18264404932657877,0.012056917349497478,3,6
1025,0.24386239051818848,0.009915733337402343,3,6
32,0.12744098901748657,0.015297215819358825,4,8
45,0.13120555877685547,0.014382720053195954,4,8
64,0.14169293642044067,0.013403519868850708,4,8
91,0.13988257944583893,0.01148307192325592,4,8
129,0.13915392756462097,0.009256640076637268,4,8
182,0.14517365396022797,0.011417536020278932,4,8
257,0.150847390294075,0.010923967957496642,4,8
363,0.1488837997118632,0.012059391816457113,4,8
513,0.26427452904837473,0.011428425107683453,4,8
725,0.1836074193318685,0.010946901321411134,4,8
1025,0.24476933479309082,0.01072640037536621,4,8
32,0.09237918257713318,0.029544384121894838,5,12
45,0.09615032374858856,0.02807596802711487,5,12
64,0.10069732367992401,0.025926528215408324,5,12
91,0.11046400666236877,0.022147584199905392,5,12
129,0.1097746193408966,0.01767769610881805,5,12
182,0.11354099214076996,0.014990592122077944,5,12
257,0.1168208122253418,0.014077486645091664,5,12
363,0.11542356014251709,0.014771541436513264,5,12
513,0.14588197072347006,0.016575488090515136,5,12
32,0.0975499302148819,0.026260095953941354,3,8
45,0.09899505972862244,0.025386176347732544,3,8
64,0.1023705005645752,0.022388031840324403,3,8
91,0.10792127251625061,0.01900620794296265,3,8
129,0.10911291837692261,0.014536255955696107,3,8
182,0.11963050067424774,0.012820479989051819,3,8
257,0.1170378178358078,0.012584960043430326,3,8
363,0.11958853403727214,0.012483669360478717,3,8
513,0.14222448212759836,0.0128446170261928,3,8
725,0.18475858370463052,0.013808298746744793,3,8
1025,0.24672961235046387,0.012823552131652831,3,8
32,0.12173207104206085,0.029228096008300782,4,12
45,0.12488701939582825,0.02823308789730072,4,12
64,0.1264069825410843,0.026044223904609677,4,12
91,0.13146048784255981,0.02177894401550293,4,12
129,0.13121390342712402,0.018374015927314757,4,12
182,0.13543079793453217,0.014995072066783903,4,12
257,0.14328369227322665,0.014341678445989436,4,12
363,0.14462502797444662,0.0158428160349528,4,12
513,0.14342816670735678,0.014391296068827312,4,12
32,0.18975934386253357,0.029220287680625914,5,16
45,0.18766193091869354,0.027982207775115966,5,16
64,0.177236869931221,0.025591296076774597,5,16
91,0.1823660433292389,0.022089088082313538,5,16
129,0.12923623621463776,0.016676671802997586,5,16
182,0.11083739995956421,0.01497164781888326,5,16
257,0.11265931810651507,0.014184740611485074,5,16
363,0.11546691258748372,0.014781439781188966,5,16
513,0.1433267593383789,0.014671872138977051,5,16
32,0.13007919490337372,0.03680051183700562,3,12
45,0.14405524730682373,0.034906560182571406,3,12
64,0.12425394356250763,0.033843327760696415,3,12
91,0.13678361475467682,0.029365504264831546,3,12
129,0.13773415982723236,0.0242467839717865,3,12
182,0.12895292043685913,0.019316095948219297,3,12
257,0.11786122755570845,0.01603416425531561,3,12
363,0.12927921613057455,0.018166442871093747,3,12
513,0.14478754997253418,0.015571626663208007,3,12
32,0.19363515079021454,0.03758451175689698,4,16
45,0.19005954265594482,0.03621305632591248,4,16
64,0.20978958904743195,0.03437862420082092,4,16
91,0.17986640334129333,0.0306392320394516,4,16
129,0.1393146961927414,0.025331264138221735,4,16
182,0.14327470461527506,0.02018286959330241,4,16
257,0.14987795693533762,0.01690316799708775,4,16
363,0.1371626853942871,0.016654335657755533,4,16
513,0.14867115020751953,0.015600640296936035,4,16
32,0.3077181875705719,0.040842047691345224,5,20
45,0.23075920343399048,0.03883187198638916,5,20
64,0.2005683034658432,0.03707564806938171,5,20
91,0.12682326138019562,0.03375987195968628,5,20
129,0.1435281378882272,0.02927016244615827,5,20
182,0.11809352040290833,0.022287871837615967,5,20
257,0.11895549297332764,0.018562304019927978,5,20
363,0.11875224113464355,0.017543167114257813,5,20
32,0.09691350162029266,0.0479502718448639,5,24
45,0.4287201017141342,0.04601241660118102,5,24
64,0.2801133990287781,0.045006464004516605,5,24
91,0.17055554687976837,0.04033631992340088,5,24
129,0.10660015452991832,0.03476321792602539,5,24
182,0.1112287441889445,0.030532949129740403,5,24
257,0.10988664627075195,0.022785024007161456,5,24
32,0.34014731645584106,0.04917433619499206,4,20
45,0.24952122569084167,0.046365887641906744,4,20
64,0.20778146386146545,0.04498406362533569,4,20
91,0.16650499403476715,0.042712575912475584,4,20
129,0.1375363383974348,0.03741864258902413,4,20
182,0.14086595177650452,0.030276351928710935,4,20
257,0.14239966869354248,0.02208896017074585,4,20
363,0.14122557640075684,0.019703807830810546,4,20
32,0.14123490452766418,0.05794495987892152,3,16
45,0.19230200350284576,0.05620531201362609,3,16
64,0.19482289254665375,0.0543977599143982,3,16
91,0.2208341509103775,0.05110259175300598,3,16
129,0.15892256796360016,0.0466944637298584,3,16
182,0.14379525184631348,0.03976072533925375,3,16
257,0.1479935986655099,0.031385014942714146,3,16
363,0.15001114209493002,0.020425386428833004,3,16
513,0.1533806324005127,0.02062848091125488,3,16
32,0.44961291551589966,0.060884224414825425,5,28
45,0.13460926711559296,0.05958099222183229,5,28
64,0.12188921868801117,0.05770796799659728,5,28
91,0.10343893936702184,0.054769225256783634,5,28
129,0.10321149230003357,0.05175718450546264,5,28
182,0.10730838775634766,0.04320895957946778,5,28
257,0.11394953727722168,0.033879039764404296,5,28
32,0.4823262095451355,0.05989958405494689,4,24
45,0.1661306470632553,0.05853388786315918,4,24
64,0.14850939810276031,0.05668921613693238,4,24
91,0.13482199609279633,0.05353401589393616,4,24
129,0.13712911172346634,0.048420864105224615,4,24
182,0.13973140716552734,0.04197785568237305,4,24
257,0.1389326254526774,0.033201834360758464,4,24
32,0.10413838922977448,0.07273868656158447,5,32
45,0.10587908327579498,0.070089280128479,5,32
64,0.1062515527009964,0.06808473730087279,5,32
91,0.11041305462519328,0.06541764291127523,5,32
129,0.11496073859078544,0.06047583116803851,5,32
182,0.12070878346761067,0.05675246938069661,5,32
257,0.12811684608459473,0.04460134506225586,5,32
32,0.21117514371871948,0.0685599365234375,3,20
45,0.1865401566028595,0.0670795521736145,3,20
64,0.1698918491601944,0.06546598386764527,3,20
91,0.15783414244651794,0.061706111907958994,3,20
129,0.1102203641619001,0.05788686643327985,3,20
182,0.11523288488388062,0.051113727569580075,3,20
257,0.12251698970794678,0.04196377658843994,3,20
363,0.13298511505126953,0.03217510223388672,3,20
32,0.6164645105600357,0.07099475049972534,4,28
45,0.18232911825180054,0.07027059173583984,4,28
64,0.14314056932926178,0.06836697626113891,4,28
91,0.13552127565656388,0.06468125316074917,4,28
129,0.13624542951583862,0.05959692764282226,4,28
182,0.15795773267745972,0.05351142406463623,4,28
257,0.13637471199035645,0.04390092849731445,4,28
32,0.11433945596218109,0.08287769556045532,5,36
45,0.11604540050029755,0.08131667184829712,5,36
