local_bsz,step_time,sync_time,num_nodes,num_replicas
32,0.09356682002544403,0.001324288010597229,4,4
45,0.09731316566467285,0.0012376319915056227,4,4
64,0.10351850092411041,0.001150656007230282,4,4
91,0.10509879887104034,0.0011006719917058944,4,4
129,0.11140090227127075,0.0010655999928712843,4,4
182,0.11417168378829956,0.0010961920097470284,4,4
257,0.11691862344741821,0.0011260799914598464,4,4
363,0.12969277799129486,0.0010864640101790428,4,4
513,0.1283181607723236,0.0010446719974279404,4,4
725,0.12986457347869873,0.0010799360163509847,4,4
1025,0.1304970532655716,0.0010931839980185033,4,4
1450,0.14205677807331085,0.001028158001601696,4,4
2051,0.15675857663154602,0.0009754879996180535,4,4
2901,0.15284496545791626,0.0009928960017859937,4,4
4103,0.15217182040214539,0.0011064959987998008,4,4
5803,0.15896107256412506,0.0011324779987335206,4,4
8207,0.1633884757757187,0.0011200639903545379,4,4
11606,0.16011367738246918,0.0011102719977498056,4,4
16413,0.15800583362579346,0.0011065599918365478,4,4
23211,0.16610252857208252,0.0011817599982023239,4,4
32768,0.1719963252544403,0.0011320319846272468,4,4
32,0.09501166641712189,0.017893503904342654,5,6
45,0.10123097896575928,0.01812384009361267,5,6
64,0.10467047989368439,0.017571328163146972,5,6
91,0.1080741137266159,0.017664384007453918,5,6
129,0.1123371422290802,0.017497727930545808,5,6
182,0.11758817732334137,0.01719974398612976,5,6
257,0.12008914351463318,0.017946047961711883,5,6
363,0.1270999163389206,0.01795347207784653,5,6
513,0.12975649535655975,0.017578687906265256,5,6
725,0.1326301544904709,0.017720000147819517,5,6
1025,0.1331014633178711,0.01761273580789566,5,6
1450,0.14253918826580048,0.017734207808971406,5,6
2051,0.14262348413467407,0.018014975905418396,5,6
2901,0.14775453507900238,0.01733900797367096,5,6
4103,0.15136221051216125,0.016510911822319032,5,6
5803,0.15520252287387848,0.016774911880493168,5,6
8207,0.15862518548965454,0.017148928046226506,5,6
11606,0.1606142371892929,0.016860671758651732,5,6
16413,0.1647031456232071,0.0163425281047821,5,6
23211,0.17456790804862976,0.016660479843616485,5,6
32768,0.16615107655525208,0.01632441610097885,5,6
32,0.09470519423484802,0.011219392001628876,3,4
45,0.0987234115600586,0.01164684796333313,3,4
64,0.10438048839569092,0.011274496018886568,3,4
91,0.11058689653873444,0.010689984023571016,3,4
129,0.1120566725730896,0.011290304064750673,3,4
182,0.11631849408149719,0.010782208025455473,3,4
257,0.12153342366218567,0.011064191937446595,3,4
363,0.12693245708942413,0.0117733119726181,3,4
513,0.13505683839321136,0.0117814399600029,3,4
725,0.13535985350608826,0.0109096320271492,3,4
1025,0.1379493921995163,0.011249215960502624,3,4
1450,0.14533957839012146,0.010841088116168976,3,4
2051,0.14979462325572968,0.011466304063796996,3,4
2901,0.15418608486652374,0.01099718600511551,3,4
4103,0.1678440421819687,0.010486847996711731,3,4
5803,0.17514990270137787,0.010184320032596589,3,4
8207,0.17520387470722198,0.0101978879570961,3,4
11606,0.17542406916618347,0.010314176082611082,3,4
16413,0.17766208946704865,0.010162368178367616,3,4
23211,0.18323592841625214,0.010372416019439697,3,4
32768,0.1899644434452057,0.009554688036441801,3,4
32,0.09158723056316376,0.019449216127395634,4,6
45,0.0965258926153183,0.02221075201034546,4,6
64,0.09910595417022705,0.01995904004573822,4,6
91,0.10433071851730347,0.018074879884719848,4,6
129,0.11117339134216309,0.020790784001350406,4,6
182,0.11294031143188477,0.019874687910079954,4,6
257,0.11848564445972443,0.021214399814605715,4,6
363,0.1195656806230545,0.01940979182720184,4,6
513,0.12586548924446106,0.021255039811134337,4,6
725,0.13467484712600708,0.020423424065113063,4,6
1025,0.12467493116855621,0.02227084815502167,4,6
1450,0.13483725488185883,0.022233983993530278,4,6
2051,0.139121413230896,0.02110483205318451,4,6
2901,0.1438760757446289,0.02112652766704559,4,6
4103,0.15404552221298218,0.019738112211227416,4,6
5803,0.157791405916214,0.021022976040840146,4,6
8207,0.1576576828956604,0.019296703934669493,4,6
11606,0.15741434693336487,0.018168384075164794,4,6
16413,0.15829747915267944,0.018313151895999906,4,6
23211,0.16846753656864166,0.019502912163734436,4,6
32768,0.17289669811725616,0.01880320006608963,4,6
32,0.09671619534492493,0.029469759821891782,5,8
45,0.09869088232517242,0.03027795195579529,5,8
64,0.10608184337615967,0.03281190395355225,5,8
91,0.1067504733800888,0.030314240097999573,5,8
129,0.10921211540699005,0.03008780765533447,5,8
182,0.11375950276851654,0.03092563223838806,5,8
257,0.11846977472305298,0.028474175810813903,5,8
363,0.12733247876167297,0.02930195212364197,5,8
513,0.12547975778579712,0.03103449606895447,5,8
725,0.1324007511138916,0.030498751997947698,5,8
1025,0.12780769169330597,0.03058195185661316,5,8
1450,0.13497915863990784,0.028634432196617127,5,8
2051,0.14403291046619415,0.02925676798820496,5,8
2901,0.14045827090740204,0.02934995210170746,5,8
4103,0.14697948098182678,0.03050732791423797,5,8
5803,0.15127409994602203,0.029729663968086247,5,8
8207,0.16018888354301453,0.028504319787025455,5,8
11606,0.16594289243221283,0.027678527832031247,5,8
16413,0.15858742594718933,0.02829958379268646,5,8
23211,0.16950474679470062,0.02840716814994812,5,8
32768,0.16727014688345102,0.02914823884230394,5,8
32,0.1264476180076599,0.0251288321018219,3,6
45,0.12763305008411407,0.02517235231399536,3,6
64,0.1366569548845291,0.026614528059959407,3,6
91,0.1382024884223938,0.02766278421878815,3,6
129,0.1442834436893463,0.022738944292068484,3,6
182,0.14593972265720367,0.02487660801410675,3,6
257,0.1561117172241211,0.02644825625419617,3,6
363,0.15886534750461578,0.025436800003051756,3,6
513,0.15772496163845062,0.024909824132919315,3,6
