local_bsz,step_time,sync_time,placement
4,0.2522909343242645,0.006434326052665711,1
6,0.3259135037660599,0.006430094093084335,1
8,0.36782753467559814,0.006432075977325439,1
11,0.4126834273338318,0.006431746006011963,1
12,0.44691599905490875,0.006431816041469574,1
4,0.43972116708755493,0.2087431678771973,11
6,0.45995940268039703,0.18104926681518554,11
8,0.4933316111564636,0.16000219917297365,11
11,0.5122357457876205,0.11293765926361082,11
12,0.5289897471666336,0.10101446008682252,11
4,0.6310197561979294,0.3683014335632324,12
6,0.6170805096626282,0.3280317173004151,12
8,0.6309212446212769,0.313024663925171,12
11,0.652520477771759,0.2654708251953125,12
12,0.6709534674882889,0.2515347890853882,12
4,0.5885799080133438,0.35772342491149894,13
6,0.6014758795499802,0.31523901557922357,13
8,0.6090260893106461,0.29551838874816894,13
11,0.6371754556894302,0.25881096744537346,13
12,0.6737891286611557,0.2631064291000366,13
4,0.7562706917524338,0.5083741302490234,14
6,0.7751896232366562,0.48612753868103026,14
8,0.7920127958059311,0.45882385444641116,14
11,0.8161966055631638,0.42287775421142587,14
12,0.820902481675148,0.39440127944946296,14
4,0.7420272529125214,0.4954297199249267,15
6,0.8377721160650253,0.5429914093017578,15
8,0.8591003865003586,0.5250263137817381,15
11,0.8957193493843079,0.496871971130371,15
12,0.9063892066478729,0.4821360111236572,15
4,0.7265766561031342,0.4815822772979736,16
6,0.7435571700334549,0.45552144432067865,16
8,0.8204171657562256,0.48917084693908686,16
11,0.8895047456026077,0.48725432777404787,16
12,0.9027848988771439,0.4640341205596924,16
4,0.8207616209983826,0.5738626270294189,17
6,0.9114347547292709,0.6188261680603028,17
8,0.9516982287168503,0.6120175476074219,17
11,0.9689151048660278,0.5746524238586426,17
12,0.8863243758678436,0.46362287902832033,17
4,0.7761713266372681,0.5307418975830078,18
6,0.7877809256315231,0.4975865459442138,18
8,0.8122307658195496,0.4784555778503418,18
11,0.8091631084680557,0.4257954292297363,18
12,0.8028614073991776,0.38736548614501953,18
4,0.44754548370838165,0.22258860969543456,2
6,0.4472329616546631,0.17092990970611577,2
8,0.4681987166404724,0.14488050079345705,2
11,0.488878458738327,0.10058952331542968,2
12,0.5070568770170212,0.08554914617538453,2
4,0.7207164168357849,0.4784664859771729,22
6,0.7352511584758759,0.4569117450714111,22
8,0.7384396493434906,0.41172937774658197,22
11,0.8119430392980576,0.4074284038543701,22
12,0.8066950738430023,0.37830664634704586,22
4,0.639732763171196,0.39779303741455074,23
6,0.7079387307167053,0.4086689090728761,23
8,0.8101295232772827,0.4698399257659912,23
11,0.8324064910411835,0.4223531455993652,23
12,0.8452759236097336,0.40317476844787603,23
4,0.7867350876331329,0.5362219696044922,24
6,0.7177992016077042,0.42548436164855963,24
8,0.7148081362247467,0.3845105171203613,24
11,0.752270832657814,0.3574137954711914,24
12,0.8130047917366028,0.37881921005249025,24
4,0.8239781558513641,0.5743818397521973,25
6,0.8196406662464142,0.5230998802185058,25
8,0.8249292820692062,0.4889637985229492,25
11,0.8501680344343185,0.4524767208099365,25
12,0.8634694218635559,0.43384357261657713,25
4,0.6966604590415955,0.4555225067138672,26
6,0.715275302529335,0.43255242347717293,26
8,0.7383967339992523,0.4192739372253418,26
11,0.7601395547389984,0.37404412841796875,26
12,0.7687542587518692,0.35346185684204096,26
4,0.9200814068317413,0.6698372573852539,27
6,0.9319332540035248,0.6297366142272949,27
8,0.9545196145772934,0.6011405296325683,27
11,0.9032734930515289,0.4981765346527099,27
12,0.8841756284236908,0.4483895893096924,27
4,0.8452847748994827,0.6062005310058594,28
6,0.8603757321834564,0.5720865249633789,28
8,0.8761282563209534,0.5405841178894042,28
11,0.8963949978351593,0.5020267124176024,28
12,0.9190143495798111,0.49611509704589835,28
4,0.5168520510196686,0.27074144840240477,3
6,0.538441076874733,0.23250352954864503,3
8,0.5539246797561646,0.21964748668670653,3
11,0.5812224298715591,0.1805001525878906,3
12,0.5953057259321213,0.1597202425003052,3
4,0.784089595079422,0.5432665634155273,33
6,0.7962640076875687,0.5107326259613038,33
8,0.8147407919168472,0.4856044731140136,33
11,0.8464601188898087,0.4473007717132569,33
12,0.8508783429861069,0.4391711864471436,33
4,0.7169684171676636,0.44691179466247566,34
6,0.7371276617050171,0.4203056640625,34
8,0.7884596884250641,0.4330291709899903,34
11,0.8608130663633347,0.45755104827880866,34
12,0.807185173034668,0.37553763771057125,34
4,0.8708761781454086,0.6277186241149901,35
6,0.8984598517417908,0.6095065116882323,35
8,0.9061365127563477,0.5660194053649902,35
11,0.9014530777931213,0.512329481124878,35
12,0.9118265360593796,0.48188951683044434,35
4,0.9517861306667328,0.7032334976196288,36
6,0.9834681451320648,0.6713040885925292,36
8,0.9935210645198822,0.630688808441162,36
11,0.9099144041538239,0.49512792587280263,36
12,0.9388128519058228,0.491309778213501,36
4,0.7627813965082169,0.5042625770568848,37
6,0.7994289398193359,0.49130677986145016,37
8,0.9293983280658722,0.5732174224853516,37
11,0.9478279203176498,0.5209987831115723,37
12,0.9787875860929489,0.5254174537658692,37
