local_bsz,step_time,sync_time,num_nodes,num_replicas
4,0.2796143591403961,0.08018611192703247,4,4
6,0.3122068792581558,0.07317651224136353,4,4
8,0.3513820916414261,0.07210892868041993,4,4
11,0.3990049511194229,0.06470201516151429,4,4
16,0.49478811025619507,0.05799296045303345,4,4
23,0.6219357997179031,0.04768166399002075,4,4
33,0.8205799758434296,0.056152127981185906,4,4
36,0.905864343047142,0.052813184261322026,4,4
4,0.2963169813156128,0.09557286310195924,5,6
6,0.32836420834064484,0.08785100793838502,5,6
8,0.36658334732055664,0.0842765440940857,5,6
11,0.41217194497585297,0.07664096021652221,5,6
16,0.5083156675100327,0.06887660789489745,5,6
23,0.6348181217908859,0.055591040134429934,5,6
33,0.8247031718492508,0.059043328046798696,5,6
36,0.9142196178436279,0.06342489647865296,5,6
4,0.3799697458744049,0.18732735919952395,3,4
6,0.3987564295530319,0.164734206199646,3,4
8,0.4282761514186859,0.15099743938446045,3,4
11,0.46672289073467255,0.1333631353378296,3,4
16,0.5568079054355621,0.11722086381912232,3,4
23,0.6929663419723511,0.10993273591995238,3,4
33,0.867210641503334,0.09660390472412109,3,4
36,0.9516051560640335,0.09619206428527832,3,4
4,0.40396131575107574,0.21037401485443116,4,6
6,0.42320598661899567,0.18886828804016115,4,6
8,0.44721582531929016,0.17076044654846192,4,6
11,0.4852558970451355,0.150769214630127,4,6
16,0.5729389786720276,0.13150060987472537,4,6
23,0.7088250070810318,0.12489689636230468,4,6
33,0.8779859244823456,0.10495014476776124,4,6
36,0.9649856239557266,0.10472083187103272,4,6
4,0.4150211811065674,0.2209760627746582,5,8
6,0.43480753898620605,0.19881139373779297,5,8
8,0.45708034932613373,0.17811231994628907,5,8
11,0.4902290850877762,0.15649017620086667,5,8
16,0.5828400999307632,0.14304870414733886,5,8
23,0.7116139680147171,0.1289247999191284,5,8
33,0.8841589391231537,0.11209574460983278,5,8
36,0.9666564613580704,0.10753881502151487,5,8
4,0.4012198895215988,0.1917196788787842,3,6
6,0.42049671709537506,0.17107948780059817,3,6
8,0.4447131007909775,0.15345081615447997,3,6
11,0.48045629262924194,0.13301215934753416,3,6
16,0.5721921622753143,0.11797734451293947,3,6
23,0.704086646437645,0.10892960023880006,3,6
33,0.879054918885231,0.09787302446365358,3,6
36,0.9636058360338211,0.09838016033172609,3,6
4,0.4118254482746124,0.19935724925994874,4,8
6,0.43096618354320526,0.18019129657745359,4,8
8,0.4537879228591919,0.15870419025421145,4,8
11,0.489648774266243,0.14074060535430907,4,8
16,0.578687384724617,0.12249779176712036,4,8
23,0.7109339088201523,0.1161144962310791,4,8
33,0.8872635513544083,0.10749094486236573,4,8
36,0.970040425658226,0.10439820861816407,4,8
4,0.5081362575292587,0.3093393268585205,5,12
6,0.5285003930330276,0.29085843276977535,5,12
8,0.550890639424324,0.26918278503417964,5,12
11,0.5789148211479187,0.2405920639038086,5,12
16,0.6294861733913422,0.1817703666687012,5,12
23,0.7379046380519867,0.1476616325378418,5,12
33,0.9002196490764618,0.12107174396514896,5,12
36,0.983013853430748,0.12136185598373413,5,12
4,0.49039167165756226,0.28801081657409666,3,8
6,0.5097710639238358,0.26676569557189944,3,8
8,0.534866526722908,0.24937196826934815,3,8
11,0.5622020363807678,0.21952409553527832,3,8
16,0.6172569394111633,0.16610835266113283,3,8
23,0.7352769821882248,0.14270617294311522,3,8
33,0.902960330247879,0.12283033514022827,3,8
36,0.9821615666151047,0.11974617528915404,3,8
4,0.5099763125181198,0.3094846076965332,4,12
6,0.531124472618103,0.2921047039031982,4,12
8,0.5546737760305405,0.2722803192138672,4,12
11,0.5814063549041748,0.24381663990020752,4,12
16,0.6373700797557831,0.18881305503845214,4,12
23,0.7418538630008698,0.15057875347137456,4,12
33,0.9079896509647369,0.12715494537353517,4,12
36,0.9850943237543106,0.1205184636116028,4,12
4,0.5136702358722687,0.3077176361083984,5,16
6,0.534004732966423,0.28732645988464356,5,16
8,0.5580469816923141,0.26826726341247553,5,16
11,0.5853776782751083,0.23998521709442142,5,16
16,0.6408567130565643,0.1858024959564209,5,16
