local_bsz,step_time,sync_time,num_nodes,num_replicas
10,0.3922385722398758,0.0007127119973301888,1,1
14,0.42190493643283844,0.0007211519926786424,1,1
20,0.4906722605228424,0.000715048000216484,1,1
28,0.5615701228380203,0.0007174580059945583,1,1
40,0.7027018815279007,0.0007181040085852145,1,1
57,0.9743719547986984,0.0007197120003402232,1,1
81,1.501002937555313,0.0007207040004432203,1,1
115,2.3133028000593185,0.0007193039990961551,1,1
160,3.288677379488945,0.0007177379988133907,1,1
10,0.4210737347602844,0.02559777593612671,1,2
14,0.489966481924057,0.04046770000457764,1,2
20,0.5288737267255783,0.03236343365907669,1,2
28,0.6019621342420578,0.015730170100927355,1,2
40,0.7250069826841354,0.019296962127089506,1,2
57,0.9767797887325287,0.01146225179731846,1,2
81,1.5137118697166443,0.07617462022230029,1,2
115,2.3353895346323648,0.07375497714181743,1,2
160,3.3672533375876292,0.2743611234256199,1,2
10,0.48487430810928345,0.06434411764144897,1,3
14,0.4897047132253647,0.04659914350509643,1,3
20,0.5318782478570938,0.04615816390514374,1,3
28,0.6035192906856537,0.03494873213768005,1,3
40,0.7403739988803864,0.04230618768930435,1,3
57,0.9989372044801712,0.04240928012132645,1,3
81,1.5508034446022727,0.09868906898932023,1,3
115,2.3388142188390098,0.11725574880838395,1,3
160,3.3830562432607016,0.3012027165095011,1,3
10,0.5017910301685333,0.07829941034317017,1,4
14,0.48962780833244324,0.07224184799194336,1,4
20,0.5833805203437805,0.07938796329498292,1,4
28,0.610382005572319,0.07178495991230012,1,4
40,0.7588339596986771,0.08798049998283386,1,4
57,1.0159019033114116,0.11292349370320635,1,4
81,1.57269253049578,0.15469991997310092,1,4
115,2.4259820779164634,0.19264034926891327,1,4
160,3.3876752853393555,0.18201266479492187,1,4
