local_bsz,step_time,sync_time,placement
1,0.14400000000000002,0.01617,2
2,0.28800000000000003,0.01617,2
1,0.14400000000000002,0.018000000000000002,4
2,0.28800000000000003,0.018000000000000002,4
1,0.14400000000000002,0.01983,6
2,0.28800000000000003,0.01983,6
1,0.14400000000000002,0.02166,8
2,0.28800000000000003,0.02166,8
1,0.14400000000000002,0.28003,88
2,0.28800000000000003,0.28003,88
1,0.14400000000000002,0.34670999999999996,888
2,0.28800000000000003,0.34670999999999996,888
1,0.14400000000000002,0.41339000000000004,8888
2,0.28800000000000003,0.41339000000000004,8888
1,0.14400000000000002,0.48007,88888
2,0.28800000000000003,0.48007,88888
1,0.14400000000000002,0.54675,888888
2,0.28800000000000003,0.54675,888888
1,0.14400000000000002,0.61343,8888888
2,0.28800000000000003,0.61343,8888888
1,0.14400000000000002,0.68011,88888888
2,0.28800000000000003,0.68011,88888888
1,0.14400000000000002,0.74679,888888888
2,0.28800000000000003,0.74679,888888888
1,0.14400000000000002,0.81347,8888888888
2,0.28800000000000003,0.81347,8888888888
1,0.14400000000000002,0.88015,88888888888
2,0.28800000000000003,0.88015,88888888888
1,0.14400000000000002,0.94683,888888888888
2,0.28800000000000003,0.94683,888888888888
1,0.14400000000000002,1.0135100000000001,8888888888888
2,0.28800000000000003,1.0135100000000001,8888888888888
1,0.14400000000000002,1.08019,88888888888888
2,0.28800000000000003,1.08019,88888888888888
1,0.14400000000000002,1.14687,888888888888888
2,0.28800000000000003,1.14687,888888888888888
1,0.14400000000000002,1.2135500000000001,8888888888888888
2,0.28800000000000003,1.2135500000000001,8888888888888888
