local_bsz,step_time,sync_time,placement
1,0.099,0.3275,8
2,0.198,0.3275,8
1,0.099,0.435,88
2,0.198,0.435,88
1,0.099,0.5425,888
2,0.198,0.5425,888
1,0.099,0.65,8888
2,0.198,0.65,8888
1,0.099,0.7575,88888
2,0.198,0.7575,88888
1,0.099,0.865,888888
2,0.198,0.865,888888
1,0.099,0.9725,8888888
2,0.198,0.9725,8888888
1,0.099,1.08,88888888
2,0.198,1.08,88888888
1,0.099,1.1875,888888888
2,0.198,1.1875,888888888
1,0.099,1.295,8888888888
2,0.198,1.295,8888888888
1,0.099,1.4025,88888888888
2,0.198,1.4025,88888888888
1,0.099,1.51,888888888888
2,0.198,1.51,888888888888
1,0.099,1.6175,8888888888888
2,0.198,1.6175,8888888888888
1,0.099,1.725,88888888888888
2,0.198,1.725,88888888888888
1,0.099,1.8325,888888888888888
2,0.198,1.8325,888888888888888
1,0.099,1.94,8888888888888888
2,0.198,1.94,8888888888888888
