local_bsz,step_time,sync_time,num_nodes,num_replicas
1,0.14400000000000002,0.01617,1,2
2,0.28800000000000003,0.01617,1,2
1,0.14400000000000002,0.018000000000000002,1,4
2,0.28800000000000003,0.018000000000000002,1,4
1,0.14400000000000002,0.01983,1,6
2,0.28800000000000003,0.01983,1,6
1,0.14400000000000002,0.02166,1,8
2,0.28800000000000003,0.02166,1,8
1,0.14400000000000002,0.28003,2,16
2,0.28800000000000003,0.28003,2,16
1,0.14400000000000002,0.34670999999999996,3,24
2,0.28800000000000003,0.34670999999999996,3,24
1,0.14400000000000002,0.41339000000000004,4,32
2,0.28800000000000003,0.41339000000000004,4,32
1,0.14400000000000002,0.48007,5,40
2,0.28800000000000003,0.48007,5,40
1,0.14400000000000002,0.54675,6,48
2,0.28800000000000003,0.54675,6,48
1,0.14400000000000002,0.61343,7,56
2,0.28800000000000003,0.61343,7,56
1,0.14400000000000002,0.68011,8,64
2,0.28800000000000003,0.68011,8,64
1,0.14400000000000002,0.74679,9,72
2,0.28800000000000003,0.74679,9,72
1,0.14400000000000002,0.81347,10,80
2,0.28800000000000003,0.81347,10,80
1,0.14400000000000002,0.88015,11,88
2,0.28800000000000003,0.88015,11,88
1,0.14400000000000002,0.94683,12,96
2,0.28800000000000003,0.94683,12,96
1,0.14400000000000002,1.0135100000000001,13,104
2,0.28800000000000003,1.0135100000000001,13,104
1,0.14400000000000002,1.08019,14,112
2,0.28800000000000003,1.08019,14,112
1,0.14400000000000002,1.14687,15,120
2,0.28800000000000003,1.14687,15,120
1,0.14400000000000002,1.2135500000000001,16,128
2,0.28800000000000003,1.2135500000000001,16,128
