local_bsz,step_time,sync_time,num_nodes,num_replicas
1,0.099,0.3275,1,8
2,0.198,0.3275,1,8
1,0.099,0.435,2,16
2,0.198,0.435,2,16
1,0.099,0.5425,3,24
2,0.198,0.5425,3,24
1,0.099,0.65,4,32
2,0.198,0.65,4,32
1,0.099,0.7575,5,40
2,0.198,0.7575,5,40
1,0.099,0.865,6,48
2,0.198,0.865,6,48
1,0.099,0.9725,7,56
2,0.198,0.9725,7,56
1,0.099,1.08,8,64
2,0.198,1.08,8,64
1,0.099,1.1875,9,72
2,0.198,1.1875,9,72
1,0.099,1.295,10,80
2,0.198,1.295,10,80
1,0.099,1.4025,11,88
2,0.198,1.4025,11,88
1,0.099,1.51,12,96
2,0.198,1.51,12,96
1,0.099,1.6175,13,104
2,0.198,1.6175,13,104
1,0.099,1.725,14,112
2,0.198,1.725,14,112
1,0.099,1.8325,15,120
2,0.198,1.8325,15,120
1,0.099,1.94,16,128
2,0.198,1.94,16,128
