name,time,application,num_replicas,batch_size
deepspeech2-0,328.661816,deepspeech2,8,320
deepspeech2-1,339.661818,deepspeech2,6,320
bert-2,458.661831,bert,8,384
deepspeech2-3,777.661876,deepspeech2,6,320
bert-4,777.661876,bert,16,384
cifar10-5,952.661913,cifar10,16,4096
deepspeech2-6,1143.661933,deepspeech2,6,320
cifar10-7,1439.661975,cifar10,6,2048
cifar10-8,1462.662055,cifar10,16,4096
cifar10-9,1467.662066,cifar10,16,4096
cifar10-10,1474.662094,cifar10,8,2048
cifar10-11,1481.662114,cifar10,8,2048
deepspeech2-12,1500.662172,deepspeech2,8,320
cifar10-13,1750.662232,cifar10,12,4096
deepspeech2-14,1753.662233,deepspeech2,12,640
cifar10-15,2085.66229,cifar10,16,4096
cifar10-16,3050.662401,cifar10,8,2048
cifar10-17,3144.662419,cifar10,4,2048
imagenet-18,3498.662476,imagenet,12,3200
cifar10-19,3683.662497,cifar10,4,2048
deepspeech2-20,3829.662523,deepspeech2,6,320
bert-21,3979.662553,bert,12,384
deepspeech2-22,4941.662707,deepspeech2,12,640
cifar10-23,5308.662812,cifar10,8,2048
cifar10-24,5347.662833,cifar10,16,4096
cifar10-25,5349.662835,cifar10,8,2048
cifar10-26,5644.662912,cifar10,16,4096
cifar10-27,6161.662998,cifar10,10,4096
cifar10-28,6177.663,cifar10,6,2048
deepspeech2-29,6685.663067,deepspeech2,6,320
bert-30,6895.663103,bert,12,384
bert-31,6977.663123,bert,6,384
cifar10-32,7263.663152,cifar10,10,4096
deepspeech2-33,7293.663162,deepspeech2,6,320
cifar10-34,7337.663171,cifar10,10,4096
cifar10-35,7574.663207,cifar10,16,4096
deepspeech2-36,7903.663245,deepspeech2,12,640
bert-37,7971.663252,bert,16,384
deepspeech2-38,8033.66328,deepspeech2,6,320
cifar10-39,8049.6633,cifar10,10,4096
deepspeech2-40,8054.663314,deepspeech2,12,640
bert-41,8080.663359,bert,12,384
bert-42,8082.663363,bert,6,384
bert-43,8168.66338,bert,12,384
cifar10-44,8212.663392,cifar10,6,2048
bert-45,8401.663406,bert,6,384
deepspeech2-46,8407.663419,deepspeech2,12,640
bert-47,8407.66342,bert,16,384
cifar10-48,8543.663463,cifar10,4,2048
yolov3-49,8597.663473,yolov3,4,64
cifar10-50,8946.663524,cifar10,16,4096
bert-51,9410.663584,bert,12,384
bert-52,9473.66361,bert,16,384
deepspeech2-53,9857.663657,deepspeech2,6,320
bert-54,9905.663671,bert,8,384
deepspeech2-55,10163.663711,deepspeech2,12,640
deepspeech2-56,10926.663828,deepspeech2,12,640
deepspeech2-57,11120.663869,deepspeech2,12,640
bert-58,11168.663904,bert,12,384
bert-59,11168.663905,bert,8,384
deepspeech2-60,11200.663919,deepspeech2,12,640
bert-61,11200.66392,bert,16,384
cifar10-62,11851.664062,cifar10,8,2048
cifar10-63,12076.664074,cifar10,12,4096
cifar10-64,12752.664139,cifar10,8,2048
cifar10-65,13025.664168,cifar10,16,4096
deepspeech2-66,13064.664177,deepspeech2,12,640
cifar10-67,13370.664213,cifar10,10,4096
cifar10-68,13491.664232,cifar10,8,2048
yolov3-69,13731.664264,yolov3,4,64
deepspeech2-70,13807.664277,deepspeech2,8,320
cifar10-71,13935.664294,cifar10,6,2048
cifar10-72,14147.664326,cifar10,4,2048
