name,time,application,num_replicas,batch_size
cifar10-0,35,cifar10,8,2048
yolov3-1,520,yolov3,4,64
cifar10-2,1198,cifar10,16,4096
bert-3,1270,bert,12,384
deepspeech2-4,1303,deepspeech2,8,320
cifar10-5,1497,cifar10,6,2048
cifar10-6,1519,cifar10,12,4096
cifar10-7,1619,cifar10,8,2048
cifar10-8,1858,cifar10,16,4096
cifar10-9,2017,cifar10,12,4096
cifar10-10,2254,cifar10,6,2048
cifar10-11,2749,cifar10,12,4096
cifar10-12,2911,cifar10,16,4096
cifar10-13,3134,cifar10,6,2048
cifar10-14,3208,cifar10,12,4096
cifar10-15,3421,cifar10,16,4096
cifar10-16,3565,cifar10,6,2048
cifar10-17,3732,cifar10,12,4096
cifar10-18,4316,cifar10,16,4096
cifar10-19,4692,cifar10,6,2048
cifar10-20,4702,cifar10,16,4096
cifar10-21,5256,cifar10,6,2048
cifar10-22,5430,cifar10,8,2048
cifar10-23,5500,cifar10,12,4096
cifar10-24,5611,cifar10,8,2048
cifar10-25,5707,cifar10,8,2048
imagenet-26,5774,imagenet,10,1600
cifar10-27,5801,cifar10,12,4096
cifar10-28,5854,cifar10,6,2048
cifar10-29,5884,cifar10,6,2048
cifar10-30,7110,cifar10,12,4096
cifar10-31,7347,cifar10,8,2048
yolov3-32,7562,yolov3,4,64
cifar10-33,7626,cifar10,8,2048
deepspeech2-34,7858,deepspeech2,6,320
cifar10-35,7906,cifar10,8,2048
yolov3-36,8037,yolov3,4,64
cifar10-37,8313,cifar10,8,2048
cifar10-38,9268,cifar10,16,4096
cifar10-39,9311,cifar10,12,4096
yolov3-40,9391,yolov3,4,64
cifar10-41,9513,cifar10,12,4096
cifar10-42,9582,cifar10,6,2048
cifar10-43,9612,cifar10,16,4096
cifar10-44,9715,cifar10,16,4096
cifar10-45,10317,cifar10,8,2048
cifar10-46,10392,cifar10,12,4096
cifar10-47,10660,cifar10,16,4096
cifar10-48,10737,cifar10,16,4096
cifar10-49,10859,cifar10,16,4096
cifar10-50,11060,cifar10,12,4096
cifar10-51,11782,cifar10,8,2048
deepspeech2-52,12205,deepspeech2,6,320
cifar10-53,12379,cifar10,16,4096
cifar10-54,12421,cifar10,16,4096
cifar10-55,12712,cifar10,12,4096
cifar10-56,13106,cifar10,6,2048
cifar10-57,13457,cifar10,16,4096
cifar10-58,13554,cifar10,6,2048
cifar10-59,13734,cifar10,6,2048
cifar10-60,13797,cifar10,12,4096
cifar10-61,13938,cifar10,6,2048
yolov3-62,14090,yolov3,4,64
cifar10-63,14186,cifar10,8,2048
cifar10-64,14205,cifar10,6,2048
cifar10-65,14245,cifar10,6,2048
bert-66,14499,bert,12,384
cifar10-67,14623,cifar10,12,4096
cifar10-68,14715,cifar10,8,2048
deepspeech2-69,14737,deepspeech2,12,640
cifar10-70,14871,cifar10,8,2048
cifar10-71,14932,cifar10,12,4096
deepspeech2-72,14937,deepspeech2,12,640
deepspeech2-73,14992,deepspeech2,12,640
cifar10-74,15132,cifar10,12,4096
yolov3-75,15245,yolov3,4,64
cifar10-76,15340,cifar10,6,2048
cifar10-77,15735,cifar10,12,4096
cifar10-78,15779,cifar10,8,2048
cifar10-79,15835,cifar10,6,2048
bert-80,15863,bert,8,384
cifar10-81,16026,cifar10,6,2048
cifar10-82,16067,cifar10,16,4096
bert-83,16077,bert,16,384
bert-84,16142,bert,16,384
deepspeech2-85,16332,deepspeech2,8,320
cifar10-86,16381,cifar10,8,2048
cifar10-87,16588,cifar10,8,2048
cifar10-88,16610,cifar10,16,4096
bert-89,17011,bert,6,384
bert-90,17109,bert,6,384
deepspeech2-91,17238,deepspeech2,12,640
deepspeech2-92,17277,deepspeech2,12,640
cifar10-93,17414,cifar10,16,4096
bert-94,17521,bert,8,384
cifar10-95,17749,cifar10,8,2048
cifar10-96,17866,cifar10,16,4096
bert-97,18060,bert,12,384
cifar10-98,18115,cifar10,16,4096
cifar10-99,18139,cifar10,8,2048
cifar10-100,18211,cifar10,6,2048
cifar10-101,18244,cifar10,6,2048
cifar10-102,18284,cifar10,6,2048
yolov3-103,18385,yolov3,4,64
cifar10-104,18415,cifar10,12,4096
cifar10-105,18549,cifar10,12,4096
cifar10-106,18711,cifar10,12,4096
cifar10-107,18744,cifar10,16,4096
cifar10-108,18800,cifar10,12,4096
deepspeech2-109,18851,deepspeech2,12,640
cifar10-110,18853,cifar10,6,2048
bert-111,18925,bert,16,384
cifar10-112,19084,cifar10,8,2048
cifar10-113,19141,cifar10,8,2048
cifar10-114,19260,cifar10,6,2048
cifar10-115,19331,cifar10,8,2048
cifar10-116,19492,cifar10,16,4096
deepspeech2-117,19595,deepspeech2,12,640
cifar10-118,19915,cifar10,16,4096
cifar10-119,20057,cifar10,16,4096
cifar10-120,20362,cifar10,16,4096
cifar10-121,20530,cifar10,12,4096
cifar10-122,20531,cifar10,6,2048
cifar10-123,20531,cifar10,16,4096
cifar10-124,20548,cifar10,12,4096
cifar10-125,20673,cifar10,12,4096
cifar10-126,20694,cifar10,6,2048
cifar10-127,20742,cifar10,12,4096
cifar10-128,20884,cifar10,16,4096
cifar10-129,20937,cifar10,12,4096
cifar10-130,21132,cifar10,16,4096
cifar10-131,21335,cifar10,8,2048
cifar10-132,21487,cifar10,12,4096
yolov3-133,21615,yolov3,4,64
cifar10-134,21680,cifar10,6,2048
cifar10-135,21732,cifar10,16,4096
cifar10-136,21813,cifar10,8,2048
cifar10-137,21894,cifar10,8,2048
cifar10-138,22042,cifar10,16,4096
imagenet-139,22196,imagenet,14,3200
bert-140,22968,bert,12,384
cifar10-141,23480,cifar10,12,4096
cifar10-142,23609,cifar10,6,2048
cifar10-143,23641,cifar10,8,2048
deepspeech2-144,24063,deepspeech2,8,320
cifar10-145,24115,cifar10,6,2048
deepspeech2-146,24140,deepspeech2,12,640
deepspeech2-147,24263,deepspeech2,6,320
cifar10-148,24918,cifar10,8,2048
cifar10-149,25240,cifar10,8,2048
cifar10-150,25553,cifar10,12,4096
cifar10-151,25640,cifar10,16,4096
cifar10-152,25661,cifar10,8,2048
cifar10-153,25690,cifar10,12,4096
deepspeech2-154,26246,deepspeech2,12,640
cifar10-155,26565,cifar10,16,4096
bert-156,27082,bert,8,384
imagenet-157,27176,imagenet,10,1600
deepspeech2-158,27744,deepspeech2,6,320
deepspeech2-159,28253,deepspeech2,12,640
