name,time,application,num_replicas,batch_size
cifar10-0,528.0,cifar10,6,2048
cifar10-1,723.0,cifar10,12,4096
cifar10-2,835.0,cifar10,12,4096
cifar10-3,836.0,cifar10,6,2048
cifar10-4,1065.0,cifar10,4,2048
cifar10-5,1174.0,cifar10,8,2048
cifar10-6,1225.0,cifar10,8,2048
cifar10-7,1376.0,cifar10,8,2048
cifar10-8,1387.0,cifar10,8,4096
bert-9,1509.0,bert,8,384
cifar10-10,1880.0,cifar10,6,2048
cifar10-11,1894.0,cifar10,8,2048
cifar10-12,2126.0,cifar10,6,2048
bert-13,2152.0,bert,16,384
cifar10-14,2454.0,cifar10,4,2048
cifar10-15,2501.0,cifar10,10,4096
deepspeech2-16,2873.0,deepspeech2,6,320
cifar10-17,2912.0,cifar10,10,4096
cifar10-18,2914.0,cifar10,10,4096
cifar10-19,3594.0,cifar10,10,4096
bert-20,3598.0,bert,16,384
cifar10-21,3685.0,cifar10,12,4096
imagenet-22,4306.0,imagenet,10,1600
cifar10-23,4783.0,cifar10,4,2048
deepspeech2-24,4931.0,deepspeech2,6,320
deepspeech2-25,5017.0,deepspeech2,8,320
cifar10-26,5097.0,cifar10,6,2048
cifar10-27,5379.0,cifar10,6,2048
cifar10-28,5483.0,cifar10,8,2048
cifar10-29,5896.0,cifar10,10,4096
cifar10-30,6064.0,cifar10,8,2048
cifar10-31,6773.0,cifar10,16,4096
cifar10-32,6849.0,cifar10,4,2048
cifar10-33,7088.0,cifar10,12,4096
yolov3-34,7232.0,yolov3,4,64
cifar10-35,7233.0,cifar10,10,4096
bert-36,7263.0,bert,12,384
cifar10-37,7465.0,cifar10,10,4096
deepspeech2-38,7483.0,deepspeech2,8,320
cifar10-39,7539.0,cifar10,6,2048
cifar10-40,7753.0,cifar10,12,4096
cifar10-41,8125.0,cifar10,16,4096
cifar10-42,8147.0,cifar10,4,2048
yolov3-43,8357.0,yolov3,4,64
cifar10-44,8639.0,cifar10,16,4096
yolov3-45,8729.0,yolov3,4,64
cifar10-46,9049.0,cifar10,10,4096
cifar10-47,9056.0,cifar10,6,2048
cifar10-48,9318.0,cifar10,16,4096
cifar10-49,9440.0,cifar10,16,4096
cifar10-50,9509.0,cifar10,8,4096
cifar10-51,9615.0,cifar10,12,4096
cifar10-52,9783.0,cifar10,6,2048
deepspeech2-53,9800.0,deepspeech2,6,320
cifar10-54,10060.0,cifar10,12,4096
bert-55,10166.0,bert,16,384
cifar10-56,10185.0,cifar10,8,2048
cifar10-57,10193.0,cifar10,6,2048
cifar10-58,10258.0,cifar10,4,2048
cifar10-59,10268.0,cifar10,16,4096
cifar10-60,10362.0,cifar10,12,4096
cifar10-61,10654.0,cifar10,12,4096
yolov3-62,10658.0,yolov3,4,64
yolov3-63,10755.0,yolov3,4,64
cifar10-64,10794.0,cifar10,8,4096
cifar10-65,10865.0,cifar10,8,2048
deepspeech2-66,10880.0,deepspeech2,8,320
cifar10-67,10979.0,cifar10,4,2048
cifar10-68,11146.0,cifar10,4,2048
bert-69,11288.0,bert,8,384
cifar10-70,11292.0,cifar10,6,2048
deepspeech2-71,11298.0,deepspeech2,6,320
cifar10-72,11494.0,cifar10,4,2048
