name,time,application,num_replicas,batch_size
cifar10-0,401.0,cifar10,10,4096
cifar10-1,528.0,cifar10,10,4096
cifar10-2,1077.0,cifar10,12,4096
cifar10-3,1174.0,cifar10,8,4096
cifar10-4,1413.0,cifar10,6,2048
cifar10-5,1894.0,cifar10,8,4096
cifar10-6,2126.0,cifar10,12,4096
cifar10-7,2257.0,cifar10,4,2048
cifar10-8,2793.0,cifar10,6,2048
cifar10-9,3125.0,cifar10,10,4096
deepspeech2-10,3598.0,deepspeech2,6,320
cifar10-11,3685.0,cifar10,4,2048
imagenet-12,4306.0,imagenet,14,3200
cifar10-13,4783.0,cifar10,10,4096
cifar10-14,4935.0,cifar10,10,4096
deepspeech2-15,5017.0,deepspeech2,4,160
deepspeech2-16,5291.0,deepspeech2,6,320
cifar10-17,5379.0,cifar10,10,4096
cifar10-18,5896.0,cifar10,8,4096
bert-19,7263.0,bert,12,384
cifar10-20,7289.0,cifar10,4,2048
cifar10-21,7468.0,cifar10,4,2048
deepspeech2-22,7491.0,deepspeech2,2,80
cifar10-23,7753.0,cifar10,4,2048
cifar10-24,8145.0,cifar10,12,4096
cifar10-25,8210.0,cifar10,10,4096
yolov3-26,8357.0,yolov3,12,256
cifar10-27,9402.0,cifar10,8,4096
cifar10-28,9440.0,cifar10,8,4096
bert-29,9581.0,bert,14,384
cifar10-30,9783.0,cifar10,10,4096
cifar10-31,10271.0,cifar10,10,4096
cifar10-32,10654.0,cifar10,6,2048
yolov3-33,10658.0,yolov3,14,512
cifar10-34,10748.0,cifar10,6,2048
cifar10-35,10796.0,cifar10,6,2048
cifar10-36,10865.0,cifar10,4,2048
cifar10-37,10904.0,cifar10,6,2048
cifar10-38,11211.0,cifar10,4,2048
cifar10-39,11325.0,cifar10,12,4096
cifar10-40,11379.0,cifar10,4,2048
cifar10-41,11494.0,cifar10,8,4096
cifar10-42,11525.0,cifar10,10,4096
cifar10-43,11670.0,cifar10,12,4096
cifar10-44,11823.0,cifar10,8,4096
cifar10-45,12336.0,cifar10,12,4096
cifar10-46,12591.0,cifar10,12,4096
cifar10-47,12839.0,cifar10,10,4096
cifar10-48,13390.0,cifar10,10,4096
cifar10-49,13474.0,cifar10,4,2048
bert-50,14468.0,bert,10,384
cifar10-51,14524.0,cifar10,10,4096
cifar10-52,14963.0,cifar10,12,4096
cifar10-53,14993.0,cifar10,10,4096
cifar10-54,15069.0,cifar10,8,4096
cifar10-55,15133.0,cifar10,12,4096
cifar10-56,15441.0,cifar10,12,4096
cifar10-57,16875.0,cifar10,12,4096
cifar10-58,17078.0,cifar10,4,2048
cifar10-59,17531.0,cifar10,10,4096
cifar10-60,17631.0,cifar10,4,2048
deepspeech2-61,17984.0,deepspeech2,4,160
cifar10-62,18300.0,cifar10,10,4096
imagenet-63,18514.0,imagenet,10,1600
cifar10-64,18909.0,cifar10,6,2048
cifar10-65,18909.0,cifar10,10,4096
cifar10-66,19807.0,cifar10,10,4096
cifar10-67,20570.0,cifar10,6,2048
cifar10-68,20877.0,cifar10,4,2048
cifar10-69,21635.0,cifar10,10,4096
cifar10-70,21881.0,cifar10,10,4096
cifar10-71,22771.0,cifar10,8,4096
cifar10-72,23287.0,cifar10,4,2048
cifar10-73,23487.0,cifar10,10,4096
cifar10-74,24758.0,cifar10,8,4096
cifar10-75,25253.0,cifar10,10,4096
cifar10-76,26704.0,cifar10,12,4096
cifar10-77,27038.0,cifar10,12,4096
cifar10-78,27892.0,cifar10,12,4096
cifar10-79,28085.0,cifar10,6,2048
