name,time,application,num_replicas,batch_size
cifar10-0,207.0,cifar10,12,4096
cifar10-1,207.0,cifar10,12,4096
cifar10-2,207.0,cifar10,12,4096
cifar10-3,207.0,cifar10,12,4096
cifar10-4,207.0,cifar10,12,4096
cifar10-5,207.0,cifar10,12,4096
cifar10-6,207.0,cifar10,12,4096
cifar10-7,207.0,cifar10,12,4096
cifar10-8,345.0,cifar10,6,2048
cifar10-9,345.0,cifar10,6,2048
cifar10-10,345.0,cifar10,6,2048
cifar10-11,345.0,cifar10,6,2048
cifar10-12,345.0,cifar10,6,2048
cifar10-13,345.0,cifar10,6,2048
cifar10-14,345.0,cifar10,6,2048
cifar10-15,345.0,cifar10,6,2048
cifar10-16,378.0,cifar10,16,4096
cifar10-17,378.0,cifar10,16,4096
cifar10-18,378.0,cifar10,16,4096
cifar10-19,378.0,cifar10,16,4096
cifar10-20,378.0,cifar10,16,4096
cifar10-21,378.0,cifar10,16,4096
cifar10-22,378.0,cifar10,16,4096
cifar10-23,378.0,cifar10,16,4096
cifar10-24,379.0,cifar10,16,4096
cifar10-25,379.0,cifar10,16,4096
cifar10-26,379.0,cifar10,16,4096
cifar10-27,379.0,cifar10,16,4096
cifar10-28,379.0,cifar10,16,4096
cifar10-29,379.0,cifar10,16,4096
cifar10-30,379.0,cifar10,16,4096
cifar10-31,379.0,cifar10,16,4096
cifar10-32,401.0,cifar10,12,4096
cifar10-33,401.0,cifar10,12,4096
cifar10-34,401.0,cifar10,12,4096
cifar10-35,401.0,cifar10,12,4096
cifar10-36,401.0,cifar10,12,4096
cifar10-37,401.0,cifar10,12,4096
cifar10-38,401.0,cifar10,12,4096
cifar10-39,401.0,cifar10,12,4096
cifar10-40,1077.0,cifar10,4,2048
cifar10-41,1077.0,cifar10,4,2048
cifar10-42,1077.0,cifar10,4,2048
cifar10-43,1077.0,cifar10,4,2048
cifar10-44,1077.0,cifar10,4,2048
cifar10-45,1077.0,cifar10,4,2048
cifar10-46,1077.0,cifar10,4,2048
cifar10-47,1077.0,cifar10,4,2048
deepspeech2-48,1091.0,deepspeech2,8,320
deepspeech2-49,1091.0,deepspeech2,8,320
deepspeech2-50,1091.0,deepspeech2,8,320
deepspeech2-51,1091.0,deepspeech2,8,320
deepspeech2-52,1091.0,deepspeech2,8,320
deepspeech2-53,1091.0,deepspeech2,8,320
deepspeech2-54,1091.0,deepspeech2,8,320
deepspeech2-55,1091.0,deepspeech2,8,320
cifar10-56,1136.0,cifar10,16,4096
cifar10-57,1136.0,cifar10,16,4096
cifar10-58,1136.0,cifar10,16,4096
cifar10-59,1136.0,cifar10,16,4096
cifar10-60,1136.0,cifar10,16,4096
cifar10-61,1136.0,cifar10,16,4096
cifar10-62,1136.0,cifar10,16,4096
cifar10-63,1136.0,cifar10,16,4096
cifar10-64,1413.0,cifar10,8,2048
cifar10-65,1413.0,cifar10,8,2048
cifar10-66,1413.0,cifar10,8,2048
cifar10-67,1413.0,cifar10,8,2048
cifar10-68,1413.0,cifar10,8,2048
cifar10-69,1413.0,cifar10,8,2048
cifar10-70,1413.0,cifar10,8,2048
cifar10-71,1413.0,cifar10,8,2048
deepspeech2-72,1468.0,deepspeech2,12,640
deepspeech2-73,1468.0,deepspeech2,12,640
deepspeech2-74,1468.0,deepspeech2,12,640
deepspeech2-75,1468.0,deepspeech2,12,640
deepspeech2-76,1468.0,deepspeech2,12,640
deepspeech2-77,1468.0,deepspeech2,12,640
deepspeech2-78,1468.0,deepspeech2,12,640
deepspeech2-79,1468.0,deepspeech2,12,640
deepspeech2-80,1747.0,deepspeech2,8,320
deepspeech2-81,1747.0,deepspeech2,8,320
deepspeech2-82,1747.0,deepspeech2,8,320
deepspeech2-83,1747.0,deepspeech2,8,320
deepspeech2-84,1747.0,deepspeech2,8,320
deepspeech2-85,1747.0,deepspeech2,8,320
deepspeech2-86,1747.0,deepspeech2,8,320
deepspeech2-87,1747.0,deepspeech2,8,320
cifar10-88,1793.0,cifar10,12,4096
cifar10-89,1793.0,cifar10,12,4096
cifar10-90,1793.0,cifar10,12,4096
cifar10-91,1793.0,cifar10,12,4096
cifar10-92,1793.0,cifar10,12,4096
cifar10-93,1793.0,cifar10,12,4096
cifar10-94,1793.0,cifar10,12,4096
cifar10-95,1793.0,cifar10,12,4096
cifar10-96,1894.0,cifar10,12,4096
cifar10-97,1894.0,cifar10,12,4096
cifar10-98,1894.0,cifar10,12,4096
cifar10-99,1894.0,cifar10,12,4096
cifar10-100,1894.0,cifar10,12,4096
cifar10-101,1894.0,cifar10,12,4096
cifar10-102,1894.0,cifar10,12,4096
cifar10-103,1894.0,cifar10,12,4096
cifar10-104,1983.0,cifar10,8,4096
cifar10-105,1983.0,cifar10,8,4096
cifar10-106,1983.0,cifar10,8,4096
cifar10-107,1983.0,cifar10,8,4096
cifar10-108,1983.0,cifar10,8,4096
cifar10-109,1983.0,cifar10,8,4096
cifar10-110,1983.0,cifar10,8,4096
cifar10-111,1983.0,cifar10,8,4096
cifar10-112,2106.0,cifar10,4,2048
cifar10-113,2106.0,cifar10,4,2048
cifar10-114,2106.0,cifar10,4,2048
cifar10-115,2106.0,cifar10,4,2048
cifar10-116,2106.0,cifar10,4,2048
cifar10-117,2106.0,cifar10,4,2048
cifar10-118,2106.0,cifar10,4,2048
cifar10-119,2106.0,cifar10,4,2048
cifar10-120,2126.0,cifar10,8,2048
cifar10-121,2126.0,cifar10,8,2048
cifar10-122,2126.0,cifar10,8,2048
cifar10-123,2126.0,cifar10,8,2048
cifar10-124,2126.0,cifar10,8,2048
cifar10-125,2126.0,cifar10,8,2048
cifar10-126,2126.0,cifar10,8,2048
cifar10-127,2126.0,cifar10,8,2048
cifar10-128,2257.0,cifar10,10,4096
cifar10-129,2257.0,cifar10,10,4096
cifar10-130,2257.0,cifar10,10,4096
cifar10-131,2257.0,cifar10,10,4096
cifar10-132,2257.0,cifar10,10,4096
cifar10-133,2257.0,cifar10,10,4096
cifar10-134,2257.0,cifar10,10,4096
cifar10-135,2257.0,cifar10,10,4096
cifar10-136,2501.0,cifar10,16,4096
cifar10-137,2501.0,cifar10,16,4096
cifar10-138,2501.0,cifar10,16,4096
cifar10-139,2501.0,cifar10,16,4096
cifar10-140,2501.0,cifar10,16,4096
cifar10-141,2501.0,cifar10,16,4096
cifar10-142,2501.0,cifar10,16,4096
cifar10-143,2501.0,cifar10,16,4096
cifar10-144,2892.0,cifar10,10,4096
cifar10-145,2892.0,cifar10,10,4096
cifar10-146,2892.0,cifar10,10,4096
cifar10-147,2892.0,cifar10,10,4096
cifar10-148,2892.0,cifar10,10,4096
cifar10-149,2892.0,cifar10,10,4096
cifar10-150,2892.0,cifar10,10,4096
cifar10-151,2892.0,cifar10,10,4096
cifar10-152,2912.0,cifar10,10,4096
cifar10-153,2912.0,cifar10,10,4096
cifar10-154,2912.0,cifar10,10,4096
cifar10-155,2912.0,cifar10,10,4096
cifar10-156,2912.0,cifar10,10,4096
cifar10-157,2912.0,cifar10,10,4096
cifar10-158,2912.0,cifar10,10,4096
cifar10-159,2912.0,cifar10,10,4096
cifar10-160,2914.0,cifar10,10,4096
cifar10-161,2914.0,cifar10,10,4096
cifar10-162,2914.0,cifar10,10,4096
cifar10-163,2914.0,cifar10,10,4096
cifar10-164,2914.0,cifar10,10,4096
cifar10-165,2914.0,cifar10,10,4096
cifar10-166,2914.0,cifar10,10,4096
cifar10-167,2914.0,cifar10,10,4096
